               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,             0.03734,            0.026592,            0.014056,             0.76644,             0.60791,             0.79676,             0.38815,            0.047827,            0.032511,            0.007948,            0.007261,            0.007261,            0.007261
                  85,            0.036886,            0.029685,            0.014927,             0.79485,             0.70251,             0.85013,             0.45424,            0.042091,            0.032664,           0.0064409,            0.007228,            0.007228,            0.007228
                  86,            0.035441,            0.026529,             0.01304,             0.88448,             0.73668,             0.86134,             0.42215,            0.042308,             0.03326,           0.0064831,            0.007195,            0.007195,            0.007195
                  87,            0.037672,            0.026794,            0.014173,             0.79197,             0.76285,             0.85454,             0.43871,            0.042674,             0.03052,           0.0064306,            0.007162,            0.007162,            0.007162
                  88,             0.03777,            0.025284,            0.014115,             0.63305,             0.80797,             0.84867,             0.41921,             0.04265,            0.030387,            0.006248,            0.007129,            0.007129,            0.007129
                  89,            0.037091,            0.028509,            0.013114,             0.77005,             0.75962,             0.89793,             0.49867,            0.039357,            0.029203,           0.0058502,            0.007096,            0.007096,            0.007096
                  90,            0.034781,            0.027987,            0.014289,              0.8085,             0.70513,             0.83879,             0.51319,            0.039474,            0.030132,           0.0061449,            0.007063,            0.007063,            0.007063
                  91,             0.03387,            0.023273,            0.017048,             0.75789,             0.80061,             0.81945,             0.47961,            0.039505,            0.033169,           0.0059729,             0.00703,             0.00703,             0.00703
                  92,            0.034411,            0.026363,            0.013429,               0.665,             0.81798,             0.80556,             0.46609,            0.042371,            0.032519,            0.005722,            0.006997,            0.006997,            0.006997
                  93,            0.038096,            0.029731,            0.012194,             0.66562,             0.78495,             0.78368,             0.44003,            0.043131,            0.035131,           0.0065727,            0.006964,            0.006964,            0.006964
                  94,            0.034284,             0.02843,            0.014241,             0.81005,             0.71776,             0.84444,               0.511,            0.039533,             0.03339,           0.0050422,            0.006931,            0.006931,            0.006931
                  95,            0.033875,            0.025794,            0.015025,             0.87858,             0.64606,             0.84097,               0.489,            0.041181,            0.035992,           0.0068715,            0.006898,            0.006898,            0.006898
                  96,             0.03712,            0.025936,            0.013323,             0.65348,              0.8406,             0.77745,             0.43988,            0.042323,            0.031561,           0.0052329,            0.006865,            0.006865,            0.006865
                  97,            0.035944,            0.029218,            0.012327,             0.64334,             0.76934,             0.71538,             0.40695,            0.044327,            0.032042,           0.0056896,            0.006832,            0.006832,            0.006832
                  98,            0.033059,             0.02625,            0.014037,             0.76908,             0.66065,             0.71311,             0.38597,            0.047398,            0.038413,           0.0065934,            0.006799,            0.006799,            0.006799
                  99,            0.034718,            0.029079,            0.014187,             0.79695,             0.62458,             0.82868,               0.488,            0.041189,            0.031743,           0.0067815,            0.006766,            0.006766,            0.006766
                 100,            0.034814,            0.027364,            0.012713,             0.83082,             0.59235,               0.842,             0.49176,            0.041929,             0.03674,            0.007216,            0.006733,            0.006733,            0.006733
                 101,            0.034056,            0.027379,             0.01223,             0.72678,             0.79285,             0.86207,             0.50682,            0.040387,             0.03642,           0.0056068,              0.0067,              0.0067,              0.0067
                 102,            0.033481,            0.025896,            0.015462,             0.76727,             0.81212,             0.85605,              0.4812,            0.039325,             0.03356,           0.0047786,            0.006667,            0.006667,            0.006667
                 103,            0.036114,            0.026559,            0.013856,             0.80102,             0.76129,             0.86449,             0.48062,            0.039877,            0.031904,           0.0061506,            0.006634,            0.006634,            0.006634
                 104,            0.036614,            0.027327,            0.013913,             0.78765,             0.73984,             0.82943,             0.46707,            0.038876,            0.031649,            0.006009,            0.006601,            0.006601,            0.006601
                 105,             0.03566,            0.025065,            0.011807,             0.74905,             0.77638,             0.79163,             0.41589,            0.041329,            0.032921,           0.0061407,            0.006568,            0.006568,            0.006568
                 106,            0.034862,            0.024407,            0.014245,             0.72947,             0.78165,             0.81332,              0.4681,            0.039004,            0.032257,           0.0064245,            0.006535,            0.006535,            0.006535
                 107,            0.035319,            0.024724,            0.014236,             0.81804,             0.67846,             0.82146,              0.4362,            0.042167,            0.032413,           0.0077755,            0.006502,            0.006502,            0.006502
                 108,            0.036564,            0.027556,            0.013344,             0.82397,             0.69776,             0.82543,             0.46236,            0.040305,            0.032107,           0.0064119,            0.006469,            0.006469,            0.006469
                 109,            0.035909,            0.030631,            0.012845,             0.81644,             0.71486,             0.85799,             0.46769,            0.041313,            0.030274,           0.0061426,            0.006436,            0.006436,            0.006436
                 110,            0.032519,            0.023439,            0.014261,             0.76047,             0.81786,             0.83377,             0.46269,            0.039515,            0.030628,           0.0057265,            0.006403,            0.006403,            0.006403
                 111,            0.032696,             0.02527,            0.015384,             0.67265,             0.79209,             0.83355,             0.49295,            0.039417,            0.032329,           0.0062316,             0.00637,             0.00637,             0.00637
                 112,            0.035702,            0.028501,            0.012026,             0.67132,             0.80523,             0.84636,             0.48381,             0.03977,             0.03091,           0.0061334,            0.006337,            0.006337,            0.006337
                 113,            0.033435,            0.027775,            0.012992,             0.74744,             0.78569,              0.8116,             0.44801,            0.040621,            0.032259,           0.0057962,            0.006304,            0.006304,            0.006304
                 114,            0.034397,            0.026466,            0.015968,             0.67573,             0.81009,             0.79923,             0.44797,            0.041173,            0.034676,           0.0066439,            0.006271,            0.006271,            0.006271
                 115,            0.035919,            0.025448,             0.01719,             0.76713,              0.7061,             0.80236,             0.43364,            0.041374,            0.034547,           0.0075477,            0.006238,            0.006238,            0.006238
                 116,            0.037664,            0.027702,            0.013363,              0.6657,             0.83196,             0.78873,             0.43375,            0.041619,            0.031984,           0.0061685,            0.006205,            0.006205,            0.006205
                 117,            0.034024,            0.027054,             0.01294,             0.75622,             0.85871,             0.82972,             0.44392,            0.039882,               0.031,           0.0045276,            0.006172,            0.006172,            0.006172
                 118,            0.033966,            0.027511,            0.016559,             0.77248,             0.87407,             0.82676,             0.45626,            0.039419,            0.031284,           0.0040686,            0.006139,            0.006139,            0.006139
                 119,            0.031987,            0.025094,            0.014864,             0.76795,             0.83544,             0.83546,              0.4975,            0.038875,            0.030373,           0.0045082,            0.006106,            0.006106,            0.006106
                 120,            0.034086,            0.027093,             0.01502,             0.64857,             0.80298,             0.85378,             0.48243,            0.039106,            0.030915,           0.0058764,            0.006073,            0.006073,            0.006073
                 121,            0.033394,            0.025675,            0.013113,             0.79807,             0.69431,             0.85203,             0.49229,            0.039502,            0.031252,           0.0071912,             0.00604,             0.00604,             0.00604
                 122,            0.031436,            0.024796,            0.013737,             0.80375,             0.69006,             0.85534,             0.48888,            0.038073,            0.031735,           0.0070011,            0.006007,            0.006007,            0.006007
                 123,            0.033475,            0.025453,            0.012786,             0.62332,             0.79022,             0.83519,             0.46333,            0.038427,            0.033845,           0.0062136,            0.005974,            0.005974,            0.005974
                 124,            0.034342,            0.026492,            0.014631,              0.7274,             0.77826,             0.86415,             0.51424,            0.038663,            0.032235,           0.0054739,            0.005941,            0.005941,            0.005941
